<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.BTC/USD;60;20210218;160000;51323.4800000;51600.8300000;50869.6100000;51453.3100000;146
BTSX.BTC/USD;60;20210218;170000;51439.8000000;52039.0200000;51261.3500000;51816.3300000;143
BTSX.BTC/USD;60;20210218;180000;51815.3200000;52289.8100000;51604.7100000;52268.2400000;277
BTSX.BTC/USD;60;20210218;190000;52258.5800000;52284.9700000;51400.4900000;51513.1900000;270
BTSX.BTC/USD;60;20210218;200000;51549.3200000;52020.0000000;51408.3400000;52020.0000000;256
BTSX.BTC/USD;60;20210218;210000;52020.0000000;52045.2200000;51742.2500000;51816.5600000;135
BTSX.BTC/USD;60;20210218;220000;51810.5700000;52145.5600000;51752.1200000;51800.0000000;179
BTSX.BTC/USD;60;20210218;230000;51800.0000000;52048.3400000;51672.7800000;51745.7100000;80
BTSX.BTC/USD;60;20210219;0;51753.1400000;52149.2400000;51511.5600000;52149.1900000;260
BTSX.BTC/USD;60;20210219;10000;52147.9000000;52220.2900000;51912.7700000;52043.6000000;301
BTSX.BTC/USD;60;20210219;20000;52043.6000000;52092.8800000;51631.4700000;51897.2900000;30
BTSX.BTC/USD;60;20210219;30000;51840.4900000;51963.1000000;51516.7100000;51579.5400000;39
BTSX.BTC/USD;60;20210219;40000;51560.4600000;51952.9400000;51356.8100000;51477.7000000;119
BTSX.BTC/USD;60;20210219;50000;51506.7800000;51705.7400000;51126.5900000;51309.2000000;49
BTSX.BTC/USD;60;20210219;60000;51295.1400000;51307.0000000;50627.3200000;51231.3000000;165
BTSX.BTC/USD;60;20210219;70000;51238.8300000;51458.1200000;51156.6900000;51225.7800000;34
BTSX.BTC/USD;60;20210219;80000;51251.1500000;51491.2200000;50883.9200000;51125.3600000;52
BTSX.BTC/USD;60;20210219;90000;51132.7600000;51537.0800000;51132.7600000;51475.9900000;51
BTSX.BTC/USD;60;20210219;100000;51475.4500000;51799.0100000;51475.4500000;51677.7600000;65
BTSX.BTC/USD;60;20210219;110000;51690.6700000;51873.8200000;51625.8600000;51722.3500000;93
BTSX.BTC/USD;60;20210219;120000;51712.3700000;52245.2200000;51694.8600000;52210.4200000;95
BTSX.BTC/USD;60;20210219;130000;52215.1800000;52932.3600000;52194.0000000;52662.3700000;240
BTSX.BTC/USD;60;20210219;140000;52669.8400000;52942.7900000;52592.0500000;52672.4900000;70
BTSX.BTC/USD;60;20210219;150000;52676.8200000;52837.1600000;52425.1000000;52692.0800000;91
BTSX.BTC/USD;60;20210219;160000;52706.5800000;52731.8800000;52500.0000000;52522.4100000;71
BTSX.BTC/USD;60;20210219;170000;52524.9700000;52850.0000000;52285.3600000;52800.7500000;152
BTSX.BTC/USD;60;20210219;180000;52792.3400000;53280.0000000;52640.6100000;52894.3600000;262
BTSX.BTC/USD;60;20210219;190000;52912.5100000;53870.0000000;52820.6700000;53869.9900000;628
BTSX.BTC/USD;60;20210219;200000;53870.0000000;54924.8900000;53638.6300000;54371.9400000;843
BTSX.BTC/USD;60;20210219;210000;54353.4200000;54797.8000000;54096.8400000;54797.8000000;389
BTSX.BTC/USD;60;20210219;220000;54800.0000000;55459.4400000;54624.3500000;55343.7100000;369
BTSX.BTC/USD;60;20210219;230000;55400.0200000;55772.8000000;54585.2300000;55044.1200000;466
BTSX.BTC/USD;60;20210220;0;55057.6900000;55724.0300000;54850.8400000;55387.1500000;260
BTSX.BTC/USD;60;20210220;10000;55357.2000000;56399.9900000;55349.4800000;55662.1100000;393
BTSX.BTC/USD;60;20210220;20000;55637.6400000;55786.0000000;55126.4700000;55471.8000000;290
BTSX.BTC/USD;60;20210220;30000;55473.7700000;56039.8000000;55387.5400000;55988.5800000;109
BTSX.BTC/USD;60;20210220;40000;56000.5900000;56502.8200000;55386.8600000;56240.6600000;190
BTSX.BTC/USD;60;20210220;50000;56243.4800000;56620.0000000;55840.5900000;56241.7800000;82
BTSX.BTC/USD;60;20210220;60000;56186.2500000;56440.4700000;56009.0400000;56169.4000000;65
BTSX.BTC/USD;60;20210220;70000;56156.0900000;56289.3800000;55519.6200000;55746.8000000;56
BTSX.BTC/USD;60;20210220;80000;55722.9700000;56173.7700000;55559.1500000;55847.8400000;45
BTSX.BTC/USD;60;20210220;90000;55840.0000000;55990.3800000;55586.2500000;55674.2900000;34
BTSX.BTC/USD;60;20210220;100000;55661.4000000;55995.0400000;55613.3100000;55967.0200000;33
BTSX.BTC/USD;60;20210220;110000;55965.4200000;55978.5800000;55201.0000000;55250.6600000;84
BTSX.BTC/USD;60;20210220;120000;55247.8800000;55706.3200000;55244.5300000;55254.3400000;42
BTSX.BTC/USD;60;20210220;130000;55268.4300000;55522.1300000;55025.0000000;55283.0100000;36
BTSX.BTC/USD;60;20210220;140000;55246.5000000;55938.3800000;55218.4600000;55911.4900000;28
BTSX.BTC/USD;60;20210220;150000;55915.5500000;56356.0400000;55759.6000000;56335.6700000;41
BTSX.BTC/USD;60;20210220;160000;56353.5600000;57553.8100000;56285.2100000;57282.5000000;355
BTSX.BTC/USD;60;20210220;170000;57256.9800000;57553.7400000;56923.3400000;57299.3800000;78
BTSX.BTC/USD;60;20210220;180000;57296.3200000;57452.9100000;56135.9200000;56350.3600000;85
BTSX.BTC/USD;60;20210220;190000;56347.5800000;56820.3200000;55815.2000000;56229.6700000;142
BTSX.BTC/USD;60;20210220;200000;56239.8900000;56978.9900000;56219.5100000;56777.3800000;97
BTSX.BTC/USD;60;20210220;210000;56778.9900000;57508.1700000;56763.8400000;57106.4700000;184
BTSX.BTC/USD;60;20210220;220000;57090.0000000;57198.1400000;56860.3900000;57149.5100000;75
BTSX.BTC/USD;60;20210220;230000;57161.4000000;57277.6200000;56770.5200000;57029.0800000;57
BTSX.BTC/USD;60;20210221;0;57021.8600000;57086.8400000;56605.1500000;56781.2300000;37
BTSX.BTC/USD;60;20210221;10000;56768.1800000;56932.6100000;56266.0000000;56563.6700000;64
BTSX.BTC/USD;60;20210221;20000;56500.0000000;56508.9600000;54000.0000000;55534.6200000;248
BTSX.BTC/USD;60;20210221;30000;55459.6700000;56229.0000000;55405.4800000;56095.8500000;210
BTSX.BTC/USD;60;20210221;40000;55889.8600000;56045.1400000;55537.9900000;55936.8800000;89
BTSX.BTC/USD;60;20210221;50000;56084.7500000;56369.9900000;55820.8100000;56360.3000000;33
BTSX.BTC/USD;60;20210221;60000;56360.3000000;56686.4700000;56303.4800000;56346.8500000;45
BTSX.BTC/USD;60;20210221;70000;56352.4000000;56912.4300000;56322.6000000;56545.3100000;36
BTSX.BTC/USD;60;20210221;80000;56545.3100000;56762.0500000;56140.0000000;56727.3900000;31
BTSX.BTC/USD;60;20210221;90000;56737.2000000;56964.5600000;56532.8500000;56573.0800000;49
BTSX.BTC/USD;60;20210221;100000;56566.1900000;56634.3800000;56298.2500000;56531.5600000;39
BTSX.BTC/USD;60;20210221;110000;56538.9800000;56628.1500000;55916.4900000;56100.1300000;24
BTSX.BTC/USD;60;20210221;120000;56143.1100000;56695.3800000;55846.9500000;56569.9800000;41
BTSX.BTC/USD;60;20210221;130000;56569.9800000;56900.0000000;56351.5100000;56848.3800000;61
BTSX.BTC/USD;60;20210221;140000;56831.9300000;57844.2500000;56713.0700000;57545.8700000;135
BTSX.BTC/USD;60;20210221;150000;57561.3000000;57561.3000000;57230.8000000;57318.5900000;63
BTSX.BTC/USD;60;20210221;160000;57318.5900000;57486.5400000;56650.0000000;56941.6300000;74
BTSX.BTC/USD;60;20210221;170000;56997.6600000;57272.7000000;56970.1000000;57198.4500000;39
BTSX.BTC/USD;60;20210221;180000;57198.4500000;57496.2200000;56852.1000000;57424.5000000;59
BTSX.BTC/USD;60;20210221;190000;57443.7200000;57600.0000000;57226.6400000;57366.2000000;29
BTSX.BTC/USD;60;20210221;200000;57381.8800000;57771.3400000;57061.9600000;57745.0000000;88
BTSX.BTC/USD;60;20210221;210000;57744.9700000;57761.8600000;57413.5200000;57548.8400000;63
BTSX.BTC/USD;60;20210221;220000;57548.8400000;58274.4100000;57389.3400000;58192.7900000;233
BTSX.BTC/USD;60;20210221;230000;58206.5900000;58354.1400000;57952.0000000;58114.0500000;58
BTSX.BTC/USD;60;20210222;0;58109.9600000;58273.5600000;57492.7800000;57716.1500000;53
BTSX.BTC/USD;60;20210222;10000;57761.2200000;57944.3900000;57250.0000000;57351.0000000;57
BTSX.BTC/USD;60;20210222;20000;57361.9600000;57672.6900000;57004.2300000;57376.4700000;43
BTSX.BTC/USD;60;20210222;30000;57321.7900000;57643.7600000;57188.5500000;57492.9100000;83
BTSX.BTC/USD;60;20210222;40000;57485.7400000;57558.6900000;56253.5700000;56295.2300000;161
BTSX.BTC/USD;60;20210222;50000;56287.4200000;57051.6400000;56104.0000000;56900.0000000;297
BTSX.BTC/USD;60;20210222;60000;56898.1000000;57293.4800000;56301.0000000;56892.7700000;358
BTSX.BTC/USD;60;20210222;70000;56874.5400000;57078.9900000;55818.9800000;55913.8300000;115
BTSX.BTC/USD;60;20210222;80000;55840.0000000;56333.9400000;55124.0000000;55879.2700000;287
BTSX.BTC/USD;60;20210222;90000;55835.7400000;56420.0000000;55665.4200000;55823.7500000;69
BTSX.BTC/USD;60;20210222;100000;55884.9700000;56407.4500000;55700.0000000;56052.8500000;188
BTSX.BTC/USD;60;20210222;110000;56040.0000000;56595.0600000;55700.0000000;56479.2700000;105
BTSX.BTC/USD;60;20210222;120000;56479.4300000;56673.8800000;55385.0500000;55474.3400000;241
BTSX.BTC/USD;60;20210222;130000;55456.2600000;55764.6500000;54307.9200000;54709.4500000;382
BTSX.BTC/USD;60;20210222;140000;54720.7700000;55096.0000000;53461.7700000;54850.0000000;601
BTSX.BTC/USD;60;20210222;150000;54850.0000000;55276.9800000;54366.9700000;54497.6700000;315
BTSX.BTC/USD;60;20210222;160000;54508.1300000;54624.8900000;52585.8200000;53734.5100000;771
BTSX.BTC/USD;60;20210222;170000;53677.0900000;53975.0000000;51923.2800000;51923.2800000;644
BTSX.BTC/USD;60;20210222;180000;51938.7200000;53837.3100000;47400.0000000;53697.7500000;3721
BTSX.BTC/USD;60;20210222;190000;53644.8600000;54178.7800000;52658.2100000;53302.7100000;906
BTSX.BTC/USD;60;20210222;200000;53304.5800000;53872.9700000;52744.9500000;53207.5900000;332
BTSX.BTC/USD;60;20210222;210000;53289.0000000;53324.9700000;51930.7200000;52057.3300000;268
BTSX.BTC/USD;60;20210222;220000;52065.7200000;53489.6900000;51504.2300000;53240.2100000;335
